,incident_id,cc_code,incident_nmbr,timestamp,description,location,area,zoom_map,tb_xy,latitude,longitude,district,county_fips_id,city_fips_id,freeway_nmbr,freeway_direction,state_postmile,abs_postmile,severity,duration
0,18580293,LAHB,190301,2019-03-01 00:03:00,1125-Traffic Hazard,I210 E / Sunflower Ave,Baldwin Park,,,34.117489,-117.84631999999999,7.0,37.0,30014.0,210,E,R43.211,43.5,,2.0
353,18580812,LAHB,190301,2019-03-01 08:43:00,1125-Traffic Hazard,I210 E / N Irwindale Ave,Baldwin Park,,,34.129715999999995,-117.933687,7.0,37.0,36826.0,210,E,R37.811,38.1,,3.0
409,18580910,LAHB,190301,2019-03-01 09:35:00,1125-Traffic Hazard,Gran D Ave Onr / I210 E,Baldwin Park,,,34.119752000000005,-117.868191,7.0,37.0,30014.0,210,E,R41.911,42.2,,36.0
461,18580993,LAHB,190301,2019-03-01 10:21:00,1183-Trfc Collision-Unkn Inj,I210 E / Grand Ave,Baldwin Park,,,34.120519,-117.87264099999999,7.0,37.0,30014.0,210,E,R41.611,41.9,,0.0
489,18581034,LAHB,190301,2019-03-01 10:46:00,1183-Trfc Collision-Unkn Inj,I210 E / Lake Ave Ofr,LAFSP,,,34.151683,-118.139351,7.0,37.0,56000.0,210,E,R25.92,25.9,,14.0
490,18581035,LAHB,190301,2019-03-01 10:45:00,1183-Trfc Collision-Unkn Inj,I210 E / Lake Ave Ofr,Altadena,,,34.151683,-118.139351,7.0,37.0,56000.0,210,E,R25.92,25.9,,116.0
497,18581045,LAHB,190301,2019-03-01 10:51:00,1125-Traffic Hazard,I210 E / Citrus Ave Oc,LAFSP,,,34.120767,-117.89013999999999,7.0,37.0,3386.0,210,E,R40.611,40.9,,45.0
498,18581046,LAHB,190301,2019-03-01 10:50:00,1125-Traffic Hazard,I210 E / Citrus Ave Oc,Baldwin Park,,,34.120767,-117.89013999999999,7.0,37.0,3386.0,210,E,R40.611,40.9,,57.0
507,18581056,LAHB,190301,2019-03-01 10:55:00,1125-Traffic Hazard,I210 E / Grand Ave,LAFSP,,,34.120519,-117.87264099999999,7.0,37.0,30014.0,210,E,R41.611,41.9,,39.0
523,18581074,LAHB,190301,2019-03-01 11:08:00,1125-Traffic Hazard,I210 E / Grand Ave,Baldwin Park,,,34.120519,-117.87264099999999,7.0,37.0,30014.0,210,E,R41.611,41.9,,1.0
642,18581241,LAHB,190301,2019-03-01 12:30:00,1125-Traffic Hazard,I210 E / Grand Ave,LAFSP,,,34.120519,-117.87264099999999,7.0,37.0,30014.0,210,E,R41.611,41.9,,0.0
917,18581615,LAHB,190301,2019-03-01 15:21:00,1125-Traffic Hazard,I210 E / E Colorado Blvd,LAFSP,,,34.145621000000006,-118.02673500000002,7.0,37.0,2462.0,210,E,R32.211,32.5,,14.0
918,18581616,LAHB,190301,2019-03-01 15:20:00,1125-Traffic Hazard,I210 E / E Colorado Blvd,Altadena,,,34.145621000000006,-118.02673500000002,7.0,37.0,2462.0,210,E,R32.211,32.5,,8.0
944,18581653,LAHB,190301,2019-03-01 15:41:00,1182-Trfc Collision-No Inj,I210 E / N San Gabriel Blvd,LAFSP,,,34.152339000000005,-118.094172,7.0,37.0,56000.0,210,E,R28.52,28.5,,66.0
945,18581654,LAHB,190301,2019-03-01 15:39:00,1182-Trfc Collision-No Inj,I210 E / N San Gabriel Blvd,Altadena,,,34.152339000000005,-118.094172,7.0,37.0,56000.0,210,E,R28.52,28.5,,85.0
